Company Name,Industry/Category,Website URL,Contact Number,Location/Address,Company Description
Geeks On Site,Computers & Computer Equipment-Service & Repair,N/A,N/A,"Durham, NC 27707",N/A
Firestone Complete Auto Care,Automobile Parts & SuppliesAutomotive Tune Up ServiceTire Dealers,https://local.firestonecompleteautocare.com/north-carolina/durham/3809-n-duke-st/?lw_cmp=IYP_YPC_MLP_28282,(919) 246-5852,"Durham, NC 27704","From Business: Firestone Complete Auto Care is a full-service auto maintenance and repair shop offering a large and affordable selection of tires, convenient hours & locations…"
Firestone Complete Auto Care,Tire DealersAutomobile Parts & SuppliesMufflers & Exhaust Systems,https://local.firestonecompleteautocare.com/north-carolina/durham/4126-university-dr/?lw_cmp=IYP_YPC_MLP_17345,(919) 323-3697,"Durham, NC 27707","From Business: Firestone Complete Auto Care is a full-service auto maintenance and repair shop offering a large and affordable selection of tires, convenient hours & locations…"
Firestone Complete Auto Care,Brake RepairWheel Alignment-Frame & Axle Servicing-AutomotiveAutomobile Diagnostic Service,https://local.firestonecompleteautocare.com/north-carolina/durham/5115-nc-55/?lw_cmp=IYP_DEX_ESS_347829,(919) 323-4015,"Durham, NC 27713","From Business: Firestone Complete Auto Care is a full-service auto maintenance and repair shop offering a large and affordable selection of tires, convenient hours & locations…"
Iron Mountain - Durham,Records DestructionPaper Shredding MachinesPaper-Shredded,https://locations.ironmountain.com/nc/durham/IM071/?utm_source=yellow_pages&utm_medium=paid_referral&utm_campaign=YP+Records+Management,(984) 888-8002,"Durham, NC 27703","From Business: With over 70 years of experience, a real estate network of more than 85 million square feet across 1,400 facilities, in over 50 countries, Iron Mountain is the…"
Commercial & Scientific Refrigeration,Refrigeration Equipment-Commercial & IndustrialAir Conditioning Contractors & SystemsMajor Appliances,http://www.csr-rtp.com,(919) 361-5129,"Durham, NC 27713","From Business: Licensed and Insured. Commercial Services and Products, Scientific Services and Residential Services. We do all types of Service, Installation and Repairs of…"
Craige Motor Company,Used Car DealersWholesale Used Car DealersAuto Repair & Service,N/A,(919) 815-0000,"Durham, NC 27707","The most helpful and truthful people I've ever bought a car from. The car want perfect but they were honest up front."""
Precision Tune Auto Care of Durham,Automobile Inspection Stations & ServicesBrake RepairAutomobile Diagnostic Service,http://www.precisiontune.com/DurhamNC_Highway54,(919) 544-9600,"Durham, NC 27713","From Business: Precision Tune Auto Care is the fast, convenient & affordable solution to all your car repair & routine vehicle maintenance needs. Our certified technicians will…"
Rollingview Marina Inc,MarinasBoat CleaningBoat Rental & Charter,http://www.rollingviewmarina.com,(919) 596-2194,"Durham, NC 27703","From Business: Rollingview Marina is a family owned and operated marina nestled on scenic Falls Lake in the Piedmont Triangle area of North Carolina, and a short drive from…"
Alternative Aire Inc,Air Conditioning Service & RepairAir Conditioning Contractors & SystemsHeating Contractors & Specialties,https://alternativeaire.com,(919) 404-9040,"Durham, NC 27705","From Business: We're a full-service heating and Air conditioning Service company serving the Triangle area (Raleigh, Durham, Cary). We offer heating and AC repairs, new system…"
Progressive Water Solutions LLC,Water Filtration & Purification EquipmentWater Softening & Conditioning Equipment & ServiceWater Treatment Equipment-Service & Supplies,https://cleanyourwater.com,(919) 403-2100,"Durham, NC 27705","From Business: When you are looking for clean, pure water for your family in Durham, North Carolina, you will need the help of our experts here at Progressive Water Solutions…"
Restoration 1 of Durham-Greensboro,Water Damage RestorationMold RemediationFire & Water Damage Restoration,https://restoration1.com/durham-greensboro/?utm_medium=yext&utm_source=extnet,(919) 372-4752,"Durham, NC 27704",From Business: Restoration 1 of Durham Greensboro is a team of property restoration experts and immediate responders who help homeowners after disaster strikes. Call us for all…
Premier Painting & Home Improvement,Home Repair & MaintenanceBuilding Contractors-Commercial & IndustrialPaint Removing,http://www.premierpaintingandhomeimprovement,(919) 815-4303,"Durham, NC 27703","From Business: Premier Painting & Home Improvement delivers full-service solutions for all your painting and home improvement needs. With years of experience, weve established…"
